BUGS,DAFFY,PORKY,SYLVESTER,TWEETY,WILEE,ROADRNNR,ELMER,YOSEMITE,MARVIN,GOSSAMER,TAZ,PEPE,FOGHORN,SPEEDY
"""What's Cookin' Doc?""","""Tom Turk and Daffy""","""Tom Turk and Daffy""","""Life with Feathers""","""Birdy and the Beast""","""Fast and Furry-ous""","""Fast and Furry-ous""","""The Old Grey Hare""","""Hare Trigger""","""Haredevil Hare""","""Hair-Raising Hare""","""Devil May Hare""","""Odor-able Kitty""","""Walky Talky Hawky""","""Cat-Tails for Two"""
"""Hare Force""","""Tick Tock Tuckered""","""Tick Tock Tuckered""","""Peck Up Your Troubles""","""A Gruesome Twosome""","""Beep, Beep""","""Beep, Beep""","""The Stupid Cupid""","""Buccaneer Bunny""","""The Hasty Hare""","""Water, Water Every Hare""","""Bedevilled Rabbit""","""Scent-imental over You""","""Crowing Pains""","""Speedy Gonzales"""
"""Bugs Bunny and the Three Bears""","""Duck Soup to Nuts""","""Swooner Crooner""","""Kitty Kornered""","""Baby Bottleneck"" *C","""Going! Going! Gosh!""","""Going! Going! Gosh!""","""Stage Door Cartoon""","""Bugs Bunny Rides Again""","""Duck Dodgers in the 24½th Century""","""Hare-abian Nights""","""Ducking the Devil""","""Odor of the Day""","""The Foghorn Leghorn""","""Tabasco Road"""
"""Bugs Bunny Nips the Nips""","""Slightly Daffy""","""Duck Soup to Nuts""","""Tweetie Pie""","""Tweetie Pie""","""Zipping Along""","""Zipping Along""","""The Unruly Hare""","""High Diving Hare""","""Hare-Way to the Stars""",,"""Bill of Hare""","""For Scent-imental Reasons""","""Henhouse Henery""","""Gonzales' Tamales"""
"""Hare Ribbin'""","""Plane Daffy""","""Slightly Daffy""","""Crowing Pains""","""I Taw a Putty Tat""","""Stop! Look! And Hasten!""","""Stop! Look! And Hasten!""","""Hare Tonic""","""Mutiny on the Bunny""","""Mad as a Mars Hare""",,"""Dr. Devil and Mr. Hare""","""Scent-imental Romeo""","""The Leghorn Blows at Midnight""","""Tortilla Flaps"""
"""Buckaroo Bugs""","""The Stupid Cupid""","""Brother Brat""","""Doggone Cats""","""Bad Ol' Putty Tat""","""Ready.. Set.. Zoom!""","""Ready.. Set.. Zoom!""","""Hare Remover""","""Big House Bunny""",,,,"""Little Beau Pepé""","""A Fractured Leghorn""","""Mexicali Shmoes"""
"""The Old Grey Hare""","""Draftee Daffy""","""Trap Happy Porky""","""Catch as Cats Can""","""Home, Tweet Home""","""Guided Muscle""","""Guided Muscle""","""The Big Snooze""","""Bunker Hill Bunny""",,,,"""Wild over You""","""Leghorn Swoggled""","""Here Today, Gone Tamale"""
"""Stage Door Cartoon""","""Ain't That Ducky""","""Wagon Heels""","""Back Alley Oproar""","""All a Bir-r-r-d""","""Gee Whiz-z-z-z-z-z-z""","""Gee Whiz-z-z-z-z-z-z""","""Easter Yeggs""","""Rabbit Every Monday""",,,,"""Dog Pounded""","""Lovelorn Leghorn""","""West of the Pesos"""
"""Herr Meets Hare""","""Nasty Quacks""","""Book Revue""","""I Taw a Putty Tat""","""Canary Row""","""There They Go-Go-Go!""","""There They Go-Go-Go!""","""A Pest in the House""","""The Fair Haired Hare""",,,,"""The Cats Bah""","""Sock a Doodle Do""","""Cannery Woe"""
"""The Unruly Hare""","""Book Revue""","""Baby Bottleneck""","""Hop, Look and Listen""","""Putty Tat Trouble""","""Scrambled Aches""","""Scrambled Aches""","""Slick Hare""","""Ballot Box Bunny""",,,,"""Two Scent's Worth""","""The EGGcited Rooster""","""The Pied Piper of Guadalupe"""
"""Hare Trigger""","""Baby Bottleneck""","""Daffy Doodles""","""Kit for Cat""","""Room and Bird""","""Zoom and Bored""","""Zoom and Bored""","""What Makes Daffy Duck""","""14 Carrot Rabbit""",,,,"""Past Perfumance""","""Plop Goes the Weasel!""","""Mexican Boarders"""
"""Hare Conditioned""","""Daffy Doodles""","""Kitty Kornered""","""Scaredy Cat""","""Tweety's S.O.S.""","""Whoa, Be-Gone!""","""Whoa, Be-Gone!""","""Back Alley Oproar""","""Hare Lift""",,,,"""Heaven Scent""","""Of Rice and Hen""","""Mexican Cat Dance"""
