Y_1944,Y_1945,Y_1946,Y_1947,Y_1948,Y_1949,Y_1950,Y_1951,Y_1952,Y_1953,Y_1954,Y_1955,Y_1956,Y_1957,Y_1958,Y_1959,Y_1960,Y_1961,Y_1962,Y_1963,Y_1964
"""Little Red Riding Rabbit""","""Odor-able Kitty""","""Book Revue""","""One Meat Brawl""","""Gorilla My Dreams""","""Wise Quackers""","""Home, Tweet Home""","""Hare We Go""","""Who's Kitten Who?""","""Don't Give Up the Sheep""","""Dog Pounded""","""Pizzicato Pussycat""","""Bugs' Bonnets""","""Three Little Bops""","""Don't Axe Me""","""Baton Bunny""","""Fastest with the Mostest""","""Cannery Woe""","""Wet Hare""","""I Was a Teenage Thumb""","""Dumb Patrol"""
"""What's Cookin' Doc?""","""Herr Meets Hare""","""Baseball Bugs""","""The Goofy Gophers""","""Two Gophers from Texas""","""Hare Do""","""Hurdy-Gurdy Hare""","""A Fox in a Fix""","""Operation: Rabbit""","""Snow Business""","""Captain Hareblower""","""Feather Dusted""","""Too Hop to Handle""","""Tweet Zoo""","""Tortilla Flaps""","""Mouse-Placed Kitten""","""West of the Pesos""","""Zip 'n Snort""","""A Sheep in the Deep""","""Devil's Feud Cake""","""A Message to Gracias"""
"""Meatless Flyday""","""Draftee Daffy""","""Holiday for Shoestrings""","""The Gay Anties""","""A Feather in His Hare""","""Holiday for Drumsticks""","""Boobs in the Woods""","""Canned Feud""","""Feed the Kitty""","""A Mouse Divided""","""I Gopher You""","""Pests for Guests""","""Weasel Stop""","""Scrambled Aches""","""Hare-Less Wolf""","""China Jones""","""Horse Hare""","""Hoppy Daze""","""Fish and Slips""","""Fast Buck Duck""","""Bartholomew Versus the Wheel"""
"""Tom Turk and Daffy""","""The Unruly Hare""","""Quentin Quail""","""Scent-imental over You""","""What Makes Daffy Duck""","""Awful Orphan""","""Mutiny on the Bunny""","""Rabbit Every Monday""","""14 Carrot Rabbit""","""Forward March Hare""","""Feline Frame-Up""","""Beanstalk Bunny""","""The High and the Flighty""","""Ali Baba Bunny""","""A Pizza Tweety-Pie""","""Hare-abian Nights""","""Wild Wild World""","""The Mouse on 57th Street""","""Quackodile Tears""","""The Million Hare""","""Freudy Cat"""
"""Bugs Bunny and the Three Bears""","""Trap Happy Porky""","""Baby Bottleneck""","""A Hare Grows in Manhattan""","""What's Brewin', Bruin?""","""Porky Chops""","""The Lion's Busy""","""Putty Tat Trouble""","""Gift Wrapped""","""Kiss Me Cat""","""Wild Wife""","""All Fowled Up""","""Broom-Stick Bunny""","""Go Fly a Kit""","""Robin Hood Daffy""","""Trick or Tweet""","""Goldimouse and the Three Cats""","""Strangled Eggs""","""Crows' Feat""","""Mexican Cat Dance""","""Dr. Devil and Mr. Hare"""
"""I Got Plenty of Mutton""","""Life with Feathers""","""Hare Remover""","""Birth of a Notion""","""Daffy Duck Slept Here""","""Mississippi Hare""","""The Scarlet Pumpernickel""","""Corn Plastered""","""Foxy by Proxy""","""Duck Amuck""","""No Barking""","""Stork Naked""","""Rocket Squad""","""Bedevilled Rabbit""","""Hare-Way to the Stars""","""The Mouse That Jack Built""","""Person to Bunny""","""Birds of a Father""","""Mexican Boarders""","""Now Hear This""","""Nuts and Volts"""
"""The Weakly Reporter""","""Behind the Meat-Ball""","""Daffy Doodles""","""Tweetie Pie""","""A Hick a Slick and a Chick""","""Paying the Piper""","""Homeless Hare""","""Bunny Hugged""","""Thumb Fun""","""Upswept Hare""","""Bugs and Thugs""","""Lighthouse Mouse""","""Tweet and Sour""","""Boyhood Daze""","""Whoa, Be-Gone!""","""Apes of Wrath""","""Who Scent You?""","""D' Fightin' Ones""","""Bill of Hare""","""Woolen Under Where""","""The Iceman Ducketh"""
"""Tick Tock Tuckered"" *","""Hare Trigger""","""Hollywood Canine Canteen""","""Rabbit Transit""","""Back Alley Oproar""","""Daffy Duck Hunt""","""Strife with Father""","""Scent-imental Romeo""","""Little Beau Pepé""","""A Peck o' Trouble""","""The Cats Bah""","""Sahara Hare""","""Heaven Scent""","""Cheese It, the Cat!""","""A Waggily Tale""","""Hot-Rod and Reel!""","""Hyde and Go Tweet""","""The Abominable Snow Rabbit""","""Zoom at the Top""","""Hare-Breadth Hurry""","""War and Pieces"""
"""Bugs Bunny Nips the Nips""","""Ain't That Ducky""","""Hush My Mouse""","""Hobo Bobo""","""I Taw a Putty Tat""","""Rebel Rabbit""","""The Hypo-Chondri-Cat""","""A Bone for a Bone""","""Kiddin' the Kitten""","""Fowl Weather""","""Design for Leaving""","""Sandy Claws""","""Mixed Master""","""Fox-Terror""","""Feather Bluster""","""A Mutt in a Rut""","""Rabbit's Feat""","""Lickety-Splat""","""The Slick Chick""","""Banty Raids""","""Hawaiian Aye Aye"""
"""Swooner Crooner""","""A Gruesome Twosome""","""Hair-Raising Hare""","""Along Came Daffy""","""Rabbit Punch""","""Mouse Wreckers""","""Big House Bunny""","""The Fair Haired Hare""","""Water, Water Every Hare""","""Muscle Tussle""","""Bell Hoppy""","""The Hole Idea""","""Rabbitson Crusoe""","""Tweety and the Beanstalk""","""Now Hare This""","""Backwoods Bunny""","""Crockett-Doodle-Do""","""A Scent of the Matterhorn""","""Louvre Come Back to Me!""","""Chili Weather""","""False Hare"""
